,0,1
iron,0.66444445,0.6395203
island,1.4679292,0.7053049
islands,2.1315672,-0.16618684
isle,-0.76053935,-0.778201
isles,-0.5065166,0.12264308
it,-0.8012729,-0.4753894
its,0.68899024,-0.42454192
itself,0.64746875,0.09138854
jade,2.2943275,-0.10028162
jangling,-4.4625244,-4.986376
jars,8.605551,7.4087543
jaw,4.7498555,-3.3672216
jerked,0.73852605,-2.8820572
jerkin,5.2246823,1.406474
jests,0.8456513,1.2218137
jewels,0.6625969,0.6876368
join,-2.390406,-0.55999243
joining,-0.8279469,0.5037543
joint,0.4326396,0.058034528
jon,-3.8220365,0.30490696
jornmy,-0.33971763,-1.879872
joy,0.2996653,-0.7367454
juggles,-1.8981045,-0.9703053
just,-1.4402946,1.5258442
justice,-1.5616801,0.33157352
jut,4.407682,-2.5162423
keep,-0.5742667,1.1875857
keeping,2.241277,-1.5832728
kept,0.56420887,-0.7168101
kill,-0.8381461,-0.9832481
kindest,-1.9976337,0.9687392
kindness,-2.5931487,-0.5574532
king,-1.5610913,-0.055348206
kingdom,-1.1122907,-1.2210467
kingdoms,-0.7862263,1.8395936
kings,-0.5248701,0.4863572
kingsguard,3.1848462,-1.6892813
kingthe,-0.01813105,-0.19789672
kitchen,-1.8416436,-0.35706332
knee,-3.3129182,-3.7884881
knees,3.0585086,-1.5499362
knew,-1.1652403,0.23713923
knife,1.9820062,-1.6032208
knight,0.9698914,-1.1760036
knighted,-0.89642096,-1.0364867
knighthood,2.4803467,0.6686232
knights,0.50007355,1.8454216
knocked,-0.5379423,-1.2876799
know,-4.603562,-0.734992
known,-1.3773917,-1.7383677
labors,0.5547555,-0.8296853
lad,-2.7767227,-4.0224223
lady,-0.7236669,-1.0979518
lakes,4.7873697,11.982775
land,1.8482105,-0.59781444
landing,-0.4898776,0.48803613
lands,0.3078561,0.6382797
